Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,Date
1503960366,4/12/2016 12:00:00 AM,1,327,346,0004-12-20
1503960366,4/13/2016 12:00:00 AM,2,384,407,NA
1503960366,4/15/2016 12:00:00 AM,1,412,442,NA
1503960366,4/16/2016 12:00:00 AM,2,340,367,NA
1503960366,4/17/2016 12:00:00 AM,1,700,712,NA
1503960366,4/19/2016 12:00:00 AM,1,304,320,NA
1503960366,4/20/2016 12:00:00 AM,1,360,377,NA
1503960366,4/21/2016 12:00:00 AM,1,325,364,NA
1503960366,4/23/2016 12:00:00 AM,1,361,384,NA
1503960366,4/24/2016 12:00:00 AM,1,430,449,NA
1503960366,4/25/2016 12:00:00 AM,1,277,323,NA
1503960366,4/26/2016 12:00:00 AM,1,245,274,NA
1503960366,4/28/2016 12:00:00 AM,1,366,393,NA
1503960366,4/29/2016 12:00:00 AM,1,341,354,NA
1503960366,4/30/2016 12:00:00 AM,1,404,425,NA
1503960366,5/1/2016 12:00:00 AM,1,369,396,0005-01-20
1503960366,5/2/2016 12:00:00 AM,1,277,309,0005-02-20
1503960366,5/3/2016 12:00:00 AM,1,273,296,0005-03-20
1503960366,5/5/2016 12:00:00 AM,1,247,264,0005-05-20
1503960366,5/6/2016 12:00:00 AM,1,334,367,0005-06-20
1503960366,5/7/2016 12:00:00 AM,1,331,349,0005-07-20
1503960366,5/8/2016 12:00:00 AM,1,594,611,0005-08-20
1503960366,5/9/2016 12:00:00 AM,1,338,342,0005-09-20
1503960366,5/10/2016 12:00:00 AM,1,383,403,0005-10-20
1503960366,5/11/2016 12:00:00 AM,1,285,306,0005-11-20
1644430081,4/29/2016 12:00:00 AM,1,119,127,NA
1644430081,4/30/2016 12:00:00 AM,1,124,142,NA
1644430081,5/2/2016 12:00:00 AM,1,796,961,0005-02-20
1644430081,5/8/2016 12:00:00 AM,1,137,154,0005-08-20
1844505072,4/15/2016 12:00:00 AM,1,644,961,NA
1844505072,4/30/2016 12:00:00 AM,1,722,961,NA
1844505072,5/1/2016 12:00:00 AM,1,590,961,0005-01-20
1927972279,4/12/2016 12:00:00 AM,3,750,775,0004-12-20
1927972279,4/13/2016 12:00:00 AM,1,398,422,NA
1927972279,4/15/2016 12:00:00 AM,2,475,499,NA
1927972279,4/26/2016 12:00:00 AM,1,296,315,NA
1927972279,4/28/2016 12:00:00 AM,1,166,178,NA
2026352035,4/12/2016 12:00:00 AM,1,503,546,0004-12-20
2026352035,4/13/2016 12:00:00 AM,1,531,565,NA
2026352035,4/14/2016 12:00:00 AM,1,545,568,NA
2026352035,4/15/2016 12:00:00 AM,1,523,573,NA
2026352035,4/16/2016 12:00:00 AM,1,524,567,NA
2026352035,4/17/2016 12:00:00 AM,1,437,498,NA
2026352035,4/19/2016 12:00:00 AM,1,498,540,NA
2026352035,4/20/2016 12:00:00 AM,1,461,510,NA
2026352035,4/21/2016 12:00:00 AM,1,477,514,NA
2026352035,4/22/2016 12:00:00 AM,1,520,545,NA
2026352035,4/23/2016 12:00:00 AM,1,522,554,NA
2026352035,4/24/2016 12:00:00 AM,1,555,591,NA
2026352035,4/25/2016 12:00:00 AM,1,506,531,NA
2026352035,4/27/2016 12:00:00 AM,1,508,545,NA
2026352035,4/28/2016 12:00:00 AM,1,513,545,NA
2026352035,4/29/2016 12:00:00 AM,1,490,510,NA
2026352035,4/30/2016 12:00:00 AM,1,573,607,NA
2026352035,5/1/2016 12:00:00 AM,1,527,546,0005-01-20
2026352035,5/2/2016 12:00:00 AM,1,511,543,0005-02-20
2026352035,5/4/2016 12:00:00 AM,1,538,560,0005-04-20
2026352035,5/5/2016 12:00:00 AM,1,468,485,0005-05-20
2026352035,5/6/2016 12:00:00 AM,1,524,548,0005-06-20
2026352035,5/7/2016 12:00:00 AM,1,511,521,0005-07-20
2026352035,5/8/2016 12:00:00 AM,1,541,568,0005-08-20
2026352035,5/9/2016 12:00:00 AM,1,531,556,0005-09-20
2026352035,5/10/2016 12:00:00 AM,1,357,380,0005-10-20
2026352035,5/11/2016 12:00:00 AM,1,523,553,0005-11-20
2026352035,5/12/2016 12:00:00 AM,1,456,485,0005-12-20
2320127002,4/23/2016 12:00:00 AM,1,61,69,NA
2347167796,4/13/2016 12:00:00 AM,1,467,531,NA
2347167796,4/14/2016 12:00:00 AM,1,445,489,NA
2347167796,4/15/2016 12:00:00 AM,1,452,504,NA
2347167796,4/17/2016 12:00:00 AM,1,556,602,NA
2347167796,4/18/2016 12:00:00 AM,1,500,557,NA
2347167796,4/19/2016 12:00:00 AM,1,465,514,NA
2347167796,4/21/2016 12:00:00 AM,1,460,484,NA
2347167796,4/22/2016 12:00:00 AM,1,405,461,NA
2347167796,4/23/2016 12:00:00 AM,1,374,386,NA
2347167796,4/24/2016 12:00:00 AM,1,442,459,NA
2347167796,4/25/2016 12:00:00 AM,1,433,471,NA
2347167796,4/26/2016 12:00:00 AM,1,436,490,NA
2347167796,4/27/2016 12:00:00 AM,1,448,499,NA
2347167796,4/28/2016 12:00:00 AM,1,408,450,NA
2347167796,4/29/2016 12:00:00 AM,1,411,473,NA
